Platform;Post ID;Post Type;Post Content;Likes;Comments;Shares;Impressions;Reach;Engagement Rate;Audience Age;Audience Gender;Audience Location;Audience Interests;Sentiment
Facebook;709a0bab-2ba4-4722-8df5-06ecce0b134a;Link;List prove state threat off energy.;732;243;192;4752;3141;37.15;62;Female;Chad;reality;Positive
LinkedIn;3fcfb26a-e665-4e3a-8935-0317c4ca7162;Link;When simple his might clear check try.;120;178;147;7578;1897;23.46;25;Male;Finland;his;Neutral
Facebook;9e2ec254-c509-4603-a2a9-9a52010fd771;Link;Current over off certainly edge.;100;235;161;7702;2674;18.55;23;Male;Antigua and Barbuda;continue;Positive
LinkedIn;837670b7-d9a8-43ea-8312-8285a401cab4;Video;Left leg girl low own state many.;731;350;194;4630;3487;36.56;33;Female;Cote d'Ivoire;while;Negative
LinkedIn;7ef52759-bfc3-4cf8-b215-8def3256c157;Link;Collection year draw bar front.;810;374;17;3240;1161;103.45;30;Female;Germany;paper;Negative
Facebook;8657bdfa-b6ee-4123-815d-d54473974c3c;Video;Doctor increase easy second left significant.;303;200;128;4025;656;96.19;21;Female;Uganda;final;Neutral
LinkedIn;5008cc75-5c01-44cf-8ad4-d5e255658348;Image;Sense machine ago past.;513;221;120;6560;4301;19.86;32;Male;Singapore;consumer;Neutral
Facebook;7b9eb9e5-90fd-4e1e-bcab-3870695acfe8;Image;Summer eight PM dog make.;14;466;114;9067;3404;17.45;59;Male;Hungary;answer;Positive
Facebook;92792fbe-51e0-4684-8b11-f4715f255536;Link;Drive serve perform she phone international prevent two.;199;442;93;2777;1012;72.53;42;Male;Grenada;far;Negative
LinkedIn;ea655202-f4de-4653-abfe-6481ea76cbd4;Video;Enough treat involve admit house.;370;441;133;6532;784;120.41;62;Female;Slovakia (Slovak Republic);president;Neutral
LinkedIn;c69a0eaa-fa11-4142-b2c8-59cce0622eff;Link;Single before seven recent knowledge fly pull.;145;52;156;3516;1081;32.65;37;Female;Bulgaria;relate;Positive
Twitter;63896c6e-cae6-41bd-bcc2-d23a16a36233;Image;Employee rest agreement contain particularly.;446;88;73;7326;4778;12.70;37;Female;Barbados;because;Negative
Twitter;647afd39-ebc8-48ed-afeb-af4b2c57c7c8;Image;Less concern while anything election success.;769;373;30;5206;578;202.77;54;Female;Tonga;boy;Positive
Twitter;7a800341-62b1-4038-84ef-650d47f31670;Image;Receive skin stock strong history over idea.;536;441;193;6546;876;133.56;24;Male;Aruba;cover;Neutral
Instagram;77d5930a-a35a-4853-a99a-80e6730b9fb6;Image;Century whom stay health a training sound.;877;403;25;5504;2734;47.73;39;Male;Sri Lanka;me;Neutral
Instagram;a02f3c3f-873a-4dc6-9c98-c5db865ecee6;Image;Firm case ball.;371;367;126;9325;2919;29.60;25;Male;Ukraine;major;Positive
LinkedIn;f8b6c1df-c328-443f-81a0-a854f9d4c4ec;Image;Without land safe I enough figure evidence.;74;425;59;3972;3850;14.49;44;Male;Comoros;move;Neutral
Twitter;453d76b9-23e4-4f28-8869-a6a5f96547d0;Image;Summer once imagine hotel plant better me.;350;232;176;4301;738;102.71;61;Male;United States Minor Outlying Islands;across;Positive
LinkedIn;da722214-5c34-4cb7-a509-fd33f625bcf6;Image;Development yeah specific shoulder use.;280;86;82;3214;1808;24.78;56;Female;Romania;reality;Negative
LinkedIn;3abac300-3e6d-4f3e-ba85-588e42cdfaf9;Video;Community may right middle election hit.;675;9;82;9641;526;145.63;42;Female;Andorra;major;Neutral
Facebook;d4223865-2170-4c37-a0ba-a29d2b5319e4;Link;Nothing later draw some some that.;574;218;186;1429;2551;38.34;51;Male;Ukraine;or;Neutral
Facebook;7c8dae4b-bc80-41c9-9c23-b263e22c70bc;Image;Look perform rest glass staff future.;166;472;32;6799;3069;21.83;55;Female;Nauru;series;Neutral
Instagram;761084f6-e19c-4bbf-8705-7b6d57f742ab;Image;Establish both least total.;737;4;3;2350;3137;23.72;65;Female;Reunion;perhaps;Neutral
Instagram;7cacbbbf-3371-4338-881b-ce31d9fdd91f;Video;Baby his for event operation drug director.;445;167;75;5699;2651;25.91;46;Female;Korea;federal;Positive
Instagram;a6d4f283-9362-4f76-880c-8c8dc9749398;Video;Cause clearly school require that talk certainly.;882;182;121;1033;2594;45.68;60;Female;Micronesia;treat;Positive
Facebook;e45c23a8-16fa-42d4-92e0-f8881bc91e69;Video;Usually treatment conference may manage wait body.;970;0;185;9140;3685;31.34;62;Female;Northern Mariana Islands;truth;Positive
Facebook;803fae3b-d23a-4d2d-a15b-129d19b66d6f;Image;Because civil leader scientist.;755;102;59;8204;1971;46.47;48;Female;Brazil;picture;Positive
Twitter;7ed2e220-46f3-493f-be19-f0ba1521ed02;Video;Light accept decision grow air.;905;442;191;2383;4279;35.94;65;Female;Ecuador;positive;Positive
Twitter;f630bfa8-f4e4-489c-916a-79ac27919342;Image;Speech player daughter design.;810;473;69;1544;3738;36.17;41;Male;Christmas Island;light;Neutral
LinkedIn;0646fb84-e3da-4c1f-93e5-01e7931a205a;Video;Nearly soldier half southern billion.;609;477;110;2990;1684;71.02;28;Male;Comoros;yeah;Neutral
Instagram;0067c1a2-eea2-4389-a565-2d50c8c61bb5;Video;Gas couple few hospital head.;139;168;81;9483;4074;9.52;30;Female;Saint Vincent and the Grenadines;for;Positive
Twitter;503d6b33-5efc-415c-900d-04330e6d83b0;Image;Safe effort event seven kid account.;205;126;173;7798;1664;30.29;26;Female;Lithuania;truth;Negative
Facebook;ce9e75ed-783a-49ca-b83a-c21ac1112307;Video;Describe listen admit successful.;308;356;14;8841;3120;21.73;34;Male;Dominica;avoid;Negative
Facebook;854dcd1e-e09c-4683-ba10-bd231140fff9;Video;End for wait since every city career sort.;695;326;69;1349;1024;106.45;44;Female;Martinique;according;Neutral
Twitter;c97d5e26-cf7c-47f7-a851-b8c780309826;Image;Price program finally more on dark relationship guess.;122;165;153;4724;1782;24.69;46;Female;Bolivia;vote;Positive
LinkedIn;a7d40196-8590-4790-8105-9254a2ec017f;Image;Fight deal share mind leave an.;576;232;197;3247;3742;26.86;46;Male;Anguilla;in;Neutral
Instagram;5f766f01-3db5-4727-bcdf-613ee25bc1d6;Link;Manager defense feel.;427;414;121;7233;3464;27.77;41;Male;Martinique;involve;Neutral
Twitter;6c3757ed-fefe-48ad-b8f8-53f0c7d4a1ac;Video;Yourself standard edge rule.;400;351;195;9552;3451;27.41;26;Female;Seychelles;feel;Neutral
Facebook;69f491e0-9470-44a4-9b2b-c96870a04638;Link;Matter seven general what always poor.;786;285;106;4373;3012;39.08;64;Female;Finland;risk;Negative
Twitter;1d20f111-7ba2-426f-869b-13099669087e;Image;Best I smile avoid purpose where.;454;424;155;1890;990;104.34;24;Female;Saint Barthelemy;Republican;Positive
Twitter;dc6b1692-0bd5-4d2b-adc4-ceb105decf8e;Link;Republican natural two likely really perhaps center.;700;236;28;6206;2671;36.09;33;Female;Montserrat;now;Negative
LinkedIn;f8d96fd4-c5c6-45f0-8b58-c585140d8841;Video;Finally yourself bill program.;819;453;152;6076;1124;126.69;37;Male;Guatemala;shoulder;Negative
Instagram;5acdc337-fbe6-4710-8a98-7854fa3b844e;Video;Despite if similar hard protect wear.;375;271;94;4539;4475;16.54;57;Female;Oman;section;Neutral
Instagram;3e51ffa9-6744-493b-9fc5-e19c4a5002cb;Link;Nice approach suffer attention enjoy listen.;893;142;87;9602;1303;86.11;32;Male;Kazakhstan;conference;Negative
Facebook;baab2720-7ffd-402e-9639-77662ec40a02;Image;Popular poor measure phone need when just.;595;314;191;5253;2466;44.61;41;Male;Pitcairn Islands;she;Positive
Instagram;fa47d473-0ff1-4f80-9ee1-1493b500fa55;Image;But often election hospital concern.;21;498;156;6956;3219;20.97;64;Female;Belgium;appear;Neutral
Twitter;0846766f-318e-474e-b8a8-aad365e0bcfe;Link;Interesting blue surface else.;395;388;18;4827;1543;51.91;24;Female;Palestinian Territory;himself;Neutral
Facebook;edbdbaab-bd6f-45e5-967f-69ad0297a20a;Link;When unit door final.;734;435;112;5603;2972;43.10;19;Female;Germany;community;Positive
Instagram;d59a5b22-e976-4b58-a748-bcaeee446213;Video;Soon sport but upon bag news even.;382;252;97;8075;1033;70.76;46;Male;Mali;it;Positive
Instagram;fa0d23a6-104f-44e6-ba0e-f1684b3916bc;Video;Past save church.;813;421;53;9371;3976;32.37;45;Male;Bangladesh;although;Negative
Facebook;79752efe-a783-427c-b25d-e1150d0dee44;Link;Theory speech Democrat toward yeah.;228;102;68;9616;3275;12.15;41;Male;Bermuda;general;Negative
Twitter;0b735931-ae23-4ce1-9d8a-622fc7273b05;Video;Under again fight hand.;731;369;45;2632;2698;42.44;30;Male;Vietnam;her;Neutral
Facebook;7e739b62-8156-4eab-961e-89c1b68a4889;Image;Bed perhaps foreign movie data international.;523;431;98;6152;3244;32.43;53;Female;British Virgin Islands;administration;Negative
Instagram;5d0558e8-85f3-4665-a518-b7105e0f7662;Link;Degree animal send against owner less home house.;973;288;83;3916;767;175.23;41;Female;Ukraine;strategy;Negative
LinkedIn;c1b85e1a-bc3c-4931-8ead-b8fe20cbef90;Image;Reason feel happen cover then same.;832;453;54;1997;1202;111.40;61;Female;Belize;yes;Neutral
Facebook;368ccc18-0a49-46a4-90a0-db04bc1b441d;Link;Dark food factor away lose.;331;321;1;5395;3771;17.32;53;Male;Saint Helena;expect;Negative
LinkedIn;e20cdb61-4933-44a9-ace4-f59b49891806;Image;Under government report economic truth.;261;230;11;3689;1872;26.82;59;Male;Bahamas;stand;Neutral
Twitter;d1caaf47-ada6-4ff5-9cd9-b7e848af7df3;Link;Individual draw star blood Republican.;78;78;108;1673;4815;5.48;30;Female;Georgia;produce;Neutral
LinkedIn;f8242283-2095-447c-9683-4a22340d20d2;Video;Enjoy structure ahead manager three majority.;928;409;79;4345;4767;29.70;41;Male;Maldives;their;Neutral
LinkedIn;a2eac9d9-5fb8-4d28-a90e-2824e1677cef;Image;Their over big also organization.;648;303;88;3078;2439;42.60;40;Male;Haiti;br;Negative
LinkedIn;ca31d896-1425-400c-8f51-afd746680df8;Video;Oil interview someone avoid relationship learn serious.;407;195;122;5069;4850;14.93;53;Male;France;address;Neutral
LinkedIn;6153f490-0389-46e0-ba6a-9e9ccccc368e;Image;Really change send learn choose an figure.;962;243;60;9070;4413;28.67;42;Male;Zambia;employee;Negative
Instagram;775e17f5-b922-4ef7-9962-b580edcfd8a7;Link;Product include police agency consumer hard.;631;152;142;1154;2863;32.31;29;Male;Afghanistan;enjoy;Negative
Facebook;62830c28-8dac-4435-873f-54b22128c323;Link;Possible play environment us explain half approach.;225;432;87;8422;2301;32.33;41;Female;Mauritius;bank;Positive
Facebook;f336365b-e537-43e8-a89e-9e2aa7dfbdac;Video;Skin beat none sort employee decade they.;466;79;125;6127;2268;29.54;40;Female;Bouvet Island (Bouvetoya);remain;Neutral
Instagram;c3c65c08-a9f0-45bd-bf5d-e5cc98e3588e;Image;Maybe life themselves hair interest.;206;407;67;2149;1836;37.04;49;Male;Zambia;impact;Positive
Facebook;284f3688-5767-4d28-9cdf-cb483b35973b;Video;Instead yeah Congress collection wear.;627;358;43;9008;1568;65.56;24;Female;Costa Rica;how;Neutral
Facebook;abaefb8c-b325-4270-9360-d384858b624c;Video;Bag body hour threat.;726;221;34;1954;2360;41.57;34;Male;Grenada;year;Neutral
Facebook;2807f26b-200c-4a01-b10b-81361a9d4e52;Image;Financial floor send.;832;169;154;8609;3262;35.41;34;Male;Lithuania;structure;Positive
Instagram;0eab22d8-3609-4511-a509-26e1ea3cd531;Video;Determine involve couple show where voice catch.;100;134;155;6525;4277;9.10;36;Male;Sweden;Mr;Negative
Instagram;9d09c083-3eaa-4212-99b7-5c5ea09024ca;Image;Physical daughter exist assume office network.;763;312;144;6596;3613;33.74;44;Male;Isle of Man;school;Neutral
Twitter;f0f551de-2072-45f0-9f8e-291d922515d4;Video;Billion where maybe mind property hundred.;461;459;78;6688;4301;23.20;58;Female;Armenia;happen;Negative
Instagram;0a0d96e5-d75d-4545-8577-5c04979670c1;Video;Need single trial care should three.;421;201;29;4870;4342;14.99;19;Female;Botswana;thing;Neutral
LinkedIn;0df0877d-689c-479f-a747-ce7f9de2e875;Image;Conference after PM budget myself begin look remain.;713;483;59;7779;2324;54.00;38;Female;Greenland;computer;Negative
Facebook;d40af344-eea4-48b8-b045-088e24f64acd;Video;Grow tax eye chance dream song blood.;663;134;126;9077;889;103.82;22;Male;Serbia;fill;Negative
LinkedIn;b284408e-5aef-4b71-aaa4-6e8e8f2a3c89;Video;Until sing peace.;522;375;22;8432;922;99.67;49;Female;Mayotte;one;Negative
LinkedIn;36247930-4832-45e6-b285-7b0b12580e8a;Link;Those hear stay expert someone hit husband.;379;166;4;4536;2479;22.15;52;Male;Palestinian Territory;left;Positive
LinkedIn;3a74b8e0-52c6-432e-85b5-3e305142b01f;Link;Involve here foot often.;951;433;193;6373;4139;38.10;56;Male;Myanmar;soldier;Neutral
Instagram;05451de5-f04a-4789-a709-a73d524e880e;Image;My collection foreign everybody staff spend.;543;473;129;2781;4194;27.30;25;Female;Belgium;your;Positive
Twitter;b4fbe172-a5f2-4f83-8b1e-fafb851e30bc;Link;Attorney friend defense cell beautiful.;100;64;34;8858;4482;4.42;47;Male;Iran;and;Neutral
Facebook;79c782e9-d5ac-45e8-8050-8f91ea973866;Image;Together rate thing forward lawyer m.;318;128;162;1692;4003;15.19;61;Male;Trinidad and Tobago;around;Neutral
Instagram;64d98893-2634-46af-927a-dc7c81429573;Video;Fast certainly best avoid finally third use.;696;71;164;5756;4514;20.62;54;Female;Philippines;either;Neutral
Instagram;03492a76-ede8-4889-a586-fa0dc5643e9c;Video;South popular start increase assume.;490;277;118;3101;635;139.37;33;Female;Micronesia;push;Neutral
Facebook;f0c901b3-e7ee-4879-a05b-42a86558bbba;Video;Professional seven matter.;120;471;60;7637;2035;31.99;60;Male;San Marino;plan;Negative
Facebook;a138c9a9-f077-4b22-ae6f-f04c3cc9c960;Video;Than indicate listen deal water step me.;477;15;9;3831;1210;41.40;29;Female;Costa Rica;push;Neutral
Twitter;d867c194-f409-49d7-9164-59d95b331a17;Link;Always bill  br.;278;103;145;6212;2695;19.52;21;Female;Gabon;fight;Negative
Twitter;40853101-4540-423c-ba2d-162635f09178;Link;Despite attorney technology late.;954;236;141;3868;4759;27.97;45;Male;Norway;yes;Negative
Twitter;716cdfb0-9846-4f37-b5fa-18627fc32c7b;Video;Stage group popular by since.;725;266;120;9985;1531;72.57;26;Male;Nepal;common;Positive
Twitter;8ef3b07e-c478-4503-9794-0aa066df3fec;Link;West effort issue consider left.;192;358;182;9950;2852;25.67;33;Female;Kuwait;office;Positive
Twitter;bdc7be7a-2517-4b8c-8ff4-44110393007a;Video;Explain perform wait concern.;755;250;198;5363;3470;34.67;58;Male;French Guiana;issue;Positive
Instagram;7c0a7424-64ac-4162-a79d-238adb6c3dfc;Image;Imagine suggest forget particular hope within both shoulder.;932;380;43;2166;4588;29.53;48;Female;Falkland Islands (Malvinas);without;Negative
LinkedIn;d6050cb3-2637-4a16-8f99-a7b70387f023;Link;Kid third after significant bit debate up.;296;109;178;6231;4220;13.82;50;Male;Cambodia;decision;Positive
LinkedIn;792ee8cb-8fa8-42a7-aff1-cf5e500fe154;Link;Card stock stay guess face everyone.;343;350;15;9135;3362;21.06;53;Male;Nepal;several;Neutral
Instagram;d126b8e9-c681-40f1-8f16-416f21a1a9c7;Link;Back raise article around cover senior.;395;110;78;5639;771;75.62;38;Female;Belgium;number;Positive
Facebook;4d6fec54-9248-4580-90aa-dd9fd38ee044;Link;More everybody until smile society show if.;514;359;186;9322;1013;104.54;56;Female;Fiji;total;Positive
Twitter;bdbfd78d-c5cb-4c20-befe-cf05a4ff7eac;Link;Man billion deal interest situation important.;40;187;146;4494;859;43.42;61;Female;Burkina Faso;line;Positive
Twitter;5b025264-93f0-4b10-85ff-68c8b17a63dd;Video;Customer system mouth figure night million care.;110;214;106;7094;2940;14.63;22;Male;China;film;Negative
Facebook;9cf14b03-1390-4131-af77-2652eb0feaf8;Image;Guy chance five say between court.;184;456;153;4481;1214;65.32;52;Male;Nauru;number;Negative
Twitter;5af079da-1ed2-4342-8a1f-a88ceef61ab5;Link;North entire attention.;324;405;184;6517;3479;26.24;45;Female;Brazil;culture;Positive
Twitter;917012e5-658c-46cc-b3b9-13f7b0a8ef00;Link;Large authority history lot end seem agreement bed.;333;93;45;1609;1836;25.65;48;Female;Hungary;size;Positive
Instagram;c191913a-d815-4118-9697-af4da7bb65bd;Video;Produce home water point.;886;357;158;6228;3441;40.71;55;Female;Israel;daughter;Negative
Instagram;d514051f-c624-4337-be65-36bdd647c21c;Video;Color when fish last they into.;407;372;124;3844;3924;23.01;56;Male;Croatia;movie;Neutral
Twitter;8ad930ca-d9ae-4a5d-856d-8dc1610199e6;Video;Sister morning red maybe.;751;435;45;2169;3612;34.08;53;Male;Tokelau;trial;Neutral
LinkedIn;3822feae-c63f-4a8b-969a-31ff38bc3cfb;Image;Page history bring.;590;449;144;7075;4911;24.09;60;Male;Saint Barthelemy;big;Positive
Twitter;cfdfba15-ec0a-4ded-b3dc-948090b4eef9;Video;Player there letter girl.;97;199;115;6975;1222;33.63;49;Female;Saint Vincent and the Grenadines;democratic;Neutral
Instagram;d18cae4a-1c23-4dcb-bb91-f83c473e832b;Link;Event boy an try recently medical community.;265;238;130;2457;1222;51.80;65;Female;Micronesia;picture;Positive
Instagram;206686ab-c205-4462-a6a9-7e509fac62b5;Image;Whatever food government will just night seem.;83;121;133;8964;4513;7.47;40;Male;Greenland;purpose;Neutral
Instagram;33974f02-3b75-4ef7-8b71-74dc3d0d6357;Link;Reflect sense character than.;144;168;143;5721;1259;36.14;64;Male;Mozambique;seven;Positive
Instagram;249ab9ee-cf2d-4c17-a598-8823cd0162a7;Link;Ten police watch kitchen and.;969;279;154;5998;3736;37.53;38;Male;Myanmar;power;Neutral
Instagram;ccb1efe7-807b-41d6-bf74-17212c7b28b6;Link;Main article many.;392;399;124;5664;3802;24.07;44;Male;Christmas Island;rate;Positive
Facebook;7e4b5ddc-3549-4a39-920b-f216b57abd13;Link;Relationship no suddenly team stop.;704;9;103;8491;3857;21.16;51;Male;Zambia;example;Neutral
Twitter;3d03c44f-6bcf-4e95-8194-948975e7b0ff;Image;Never wonder case type land after memory try.;821;355;73;8988;761;164.13;51;Female;Philippines;contain;Neutral
Twitter;7f320548-2a99-4bb7-b2e1-9ddf778e3840;Video;Create hit dinner set anyone particular power.;138;405;95;7032;4212;15.15;48;Male;Saint Lucia;indicate;Neutral
LinkedIn;547a719e-81ea-470f-a6ba-9e6c81b334af;Image;Article prepare human trouble issue opportunity Mr time.;312;171;193;1045;3866;17.49;38;Female;Peru;customer;Neutral
Twitter;5d04b82b-018d-462b-b791-5e1051b8cba0;Link;Toward left force final stop task cultural.;715;291;15;4262;1460;69.93;38;Male;Cayman Islands;those;Positive
Twitter;3385f204-092b-4085-acf6-36326d5ebca2;Link;Serious economy region food east energy beat.;928;100;192;6332;3145;38.79;19;Male;Norway;natural;Neutral
Facebook;655ae252-75eb-4486-9992-154ae10cb99a;Link;Detail personal product something social nearly.;528;300;127;3346;4980;19.18;48;Male;Kiribati;city;Negative
Facebook;ac0363a7-27ee-4bc3-b6a8-107c8d464849;Link;Your give start him strong alone.;507;468;185;4379;803;144.46;47;Male;Jordan;tough;Negative
LinkedIn;0a9a4e35-44d7-42e7-be52-5d6c8917b2b6;Image;Enjoy that none.;908;456;15;8392;2657;51.90;47;Female;Rwanda;character;Neutral
Instagram;23eb3243-5b2c-4b07-bfa2-1041c1c73068;Image;Music on by energy back protect.;406;161;59;2285;4487;13.95;48;Male;Nepal;play;Negative
Instagram;1e406e05-2f28-409e-9256-a83c1b5c328e;Image;Court movement red section.;187;441;70;2119;4670;14.95;45;Male;Bosnia and Herzegovina;city;Neutral
Facebook;e3869925-5789-4917-924d-062e0e0cdfda;Link;Include Mr surface agreement activity them.;269;14;111;7212;3490;11.29;60;Female;Denmark;of;Negative
LinkedIn;32b4f848-569f-4ae7-b744-9bc472ac30fd;Video;Network right garden baby near.;898;365;48;2831;2724;48.13;19;Female;Christmas Island;recent;Positive
Twitter;191916b2-0168-4d4b-8984-e92f7d3de99c;Video;Cultural view body something interest leader PM.;614;137;122;9932;3644;23.96;38;Female;Oman;different;Negative
Instagram;3f1433fc-ae9c-4184-8a6c-ab497ed736a9;Video;One significant ahead speech.;855;203;110;4832;4966;23.52;64;Female;Peru;seem;Neutral
Instagram;eab50fe0-e163-4b6a-9475-637bb12c514c;Video;Couple will say officer minute protect country open.;408;393;51;9942;847;100.59;65;Female;Samoa;senior;Neutral
Twitter;9959eea1-3828-49b1-b59b-5b792e57138c;Image;Third movie west win letter phone across until.;163;72;74;3994;2035;15.18;44;Female;Western Sahara;commercial;Neutral
LinkedIn;9203c0a4-8ab7-4dd4-ab45-08e6f0207ff0;Video;Follow both east no.;616;273;198;5746;1038;104.72;34;Male;New Caledonia;manage;Positive
Instagram;4c761a97-df06-48d9-a7b6-b8998321ccf4;Video;Thought good want control public training.;891;68;134;8991;4597;23.78;22;Male;Solomon Islands;during;Neutral
LinkedIn;85e57bcf-3e9c-4459-9c10-851535443f79;Video;Though result ok s social everything herself able.;936;201;113;3304;3098;40.35;46;Male;Uzbekistan;say;Neutral
Facebook;9f235478-aa3f-4766-b272-ab0ec9bc8203;Link;Manage some vote agency recent within.;807;286;172;7795;2869;44.09;23;Male;Tuvalu;identify;Neutral
Twitter;e3efe4fb-dcd6-4c90-9c19-1d9721455caa;Video;Their design list long as.;473;474;161;4722;2945;37.62;47;Female;Turks and Caicos Islands;drop;Neutral
Instagram;cc9ad55a-1fa6-44dd-81e1-e0cdb55c4c9e;Image;Culture knowledge identify customer about poor.;946;387;150;1815;4420;33.55;62;Female;Aruba;key;Positive
Twitter;a096cc2a-873c-4857-a15e-f826f1bb9596;Video;Modern imagine strong one partner.;92;318;49;2488;2913;15.76;44;Female;Svalbard & Jan Mayen Islands;single;Negative
Instagram;bcab9a34-6110-498e-b596-96b5f5de3193;Video;Baby account north relate pattern real treatment.;971;185;143;5675;3553;36.56;32;Male;Andorra;finally;Negative
LinkedIn;7cebf820-266f-4b1c-993d-88ca131602ad;Link;Account happy people act.;864;377;183;1577;556;256.12;46;Male;Vanuatu;store;Negative
Facebook;8cfd74b3-ac45-4f8a-93dd-d5f729aa22f1;Link;Stage region student shoulder ago wonder air.;74;179;26;6888;1582;17.64;22;Male;Ghana;physical;Positive
Facebook;9d1c2b10-586c-4534-83ee-2c757335a5d9;Link;Though center stop cultural point.;193;311;11;6503;3278;15.71;27;Male;Saint Barthelemy;half;Positive
LinkedIn;4880ab76-5f7c-4f3f-856e-36bea711e768;Image;Line ball free relationship speak.;863;373;110;4072;3484;38.63;48;Male;Paraguay;human;Neutral
Twitter;4c990da5-7665-42e7-8fc2-aaf9a43aa393;Link;Unit themselves charge task guess pass me.;118;112;99;1404;774;42.51;34;Female;Liechtenstein;friend;Neutral
Twitter;9f8b229d-eba2-452b-913b-8a77e769c4dd;Image;Identify design church executive yeah.;540;418;52;4405;1759;57.42;18;Male;Falkland Islands (Malvinas);administration;Positive
LinkedIn;39c4b7f6-cc98-485c-b036-ec4922bf2735;Image;Never reality employee military name.;961;422;121;8939;3810;39.48;21;Male;Gambia;truth;Positive
Instagram;0ebfa279-0eca-4919-b715-76f2ca6a7043;Video;Civil house budget born seat accept.;454;126;52;1468;3107;20.34;38;Male;Palau;whether;Positive
Facebook;f55a44c0-9e52-45d2-b766-3e300ee44245;Video;Get degree hotel star.;482;295;13;2630;957;82.55;53;Male;Poland;have;Positive
